Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
Italie;Giosué ZILOCCHI;Pilier;24;189;112
Italie;Gullo PALAZZANI;Mêlée;29;173;85
Italie;Ignacio BREX;Centre;28;189;99
Italie;Jacopo TRULLA;Arrière;20;183;86
Italie;Jake POLLEDRI;3ème_ligne;25;190;108
Italie;Johan MEYER;3ème_ligne;27;193;107
Italie;Leonardo GHIRALDINI;Talonneur;36;184;99
Italie;Luca BIGI;Talonneur;29;182;104
Italie;Luca SPERANDIO;Ailier;25;189;95
Italie;Marcello VIOLI;Mêlée;27;176;80
Italie;Marco LAZZARONI;3ème_ligne;25;194;111
Italie;Marco RICCIONI;Pilier;23;186;126
Italie;Marco ZANON;Centre;23;186;97
Italie;Matteo MINOZZI;Arrière;24;175;79
Italie;Mattia BELLINI;Ailier;27;193;101
Italie;Maxime MBANDA;3ème_ligne;27;189;110
Italie;Michele LAMARO;3ème_ligne;22;188;103
Italie;Monty IOANE;Ailier;26;180;95
Italie;Niccolò CANNONE;2ème_ligne;22;196;116
Italie;Paolo GARBISI;Ouverture;20;183;92
Italie;Pietro CECCARELLI;Pilier;29;184;120
Italie;Seb NEGRI;2ème_ligne;26;194;110
Italie;Simone FERRARI;Pilier;26;185;125
Italie;Stephen VARNEY;Mêlée;19;178;80
Italie;Tommy ALLAN;Ouverture;27;184;91
Pays-de-Galles;Aaron WAINWRIGHT;3ème_ligne;23;190;106
Pays-de-Galles;Adam BEARD;2ème_ligne;25;203;117
Pays-de-Galles;Alun Wyn JONES;2ème_ligne;35;198;120
Pays-de-Galles;Callum SHEEDY;Ouverture;25;177;83
Pays-de-Galles;Cory HILL;2ème_ligne;29;195;117
Pays-de-Galles;Dan BIGGAR;Ouverture;31;188;90
Pays-de-Galles;Dan LYDIATE;3ème_ligne;33;194;115
Pays-de-Galles;Dillon LEWIS;Pilier;25;183;118
Pays-de-Galles;Elliot DEE;Talonneur;26;186;106
Pays-de-Galles;Gareth DAVIES;Mêlée;30;178;89
Pays-de-Galles;George NORTH;Ailier;28;194;109
Pays-de-Galles;Hallam AMOS;Arrière;26;186;99
Pays-de-Galles;Ioan LLOYD;Arrière;19;179;81
Pays-de-Galles;Jake BALL;2ème_ligne;29;200;121
Pays-de-Galles;James BOTHAM;3ème_ligne;22;188;102
Pays-de-Galles;James DAVIES;3ème_ligne;30;187;93
Pays-de-Galles;Johnny MCNICHOLL;Ailier;30;185;96
Pays-de-Galles;Johnny WILLIAMS;Centre;24;189;105
Pays-de-Galles;Jonah HOLMES;Ailier;28;186;98
Pays-de-Galles;Jonathan DAVIES;Centre;32;186;104
Pays-de-Galles;Josh ADAMS;Ailier;25;185;94
