Equipe;Nom;Poste;Age;Taille (cm);Masse (kg)
Angleterre;Owen FARRELL;Demi;29;188;96
Italie;Carlo CANNA;Demi;28;190;93
Italie;Paolo GARBISI;Demi;20;183;93
Italie;Tommy ALLAN;Demi;27;184;91
Ecosse;Adam HASTINGS;Demi;24;189;93
Ecosse;Cameron REDPATH;Demi;21;188;95
Ecosse;Duncan WEIR;Demi;29;176;91
Ecosse;Finn RUSSELL;Demi;28;183;87
Ecosse;Jaco VAN DER WALT;Demi;27;182;92
Ecosse;James LANG;Demi;25;183;95
Irlande;Billy BURNS;Demi;26;183;87
Irlande;Jonathan SEXTON;Demi;35;188;92
Irlande;Ross BYRNE;Demi;25;193;95
Pays-de-Galles;Callum SHEEDY;Demi;25;177;83
Pays-de-Galles;Dan BIGGAR;Demi;31;188;93
Pays-de-Galles;Rhys PATCHELL;Demi;27;191;92
France;Cyril BAILLE;Avant;27;182;116
France;Demba BAMBA;Avant;22;185;124
France;Dorian ALDEGHERI;Avant;27;180;119
France;Hassane KOLINGAR;Avant;22;186;116
France;Jean-Baptiste GROS;Avant;21;187;110
France;Mohamed HAOUAS;Avant;26;185;127
France;Rodrigue NETI;Avant;25;185;124
France;Uini ATONIO;Avant;30;196;145
Angleterre;Beno OBANO;Avant;26;173;120
Angleterre;Ellis GENGE;Avant;25;187;118
Angleterre;Harry WILLIAMS;Avant;29;191;132
Angleterre;Joe MARLER;Avant;30;183;114
Angleterre;Kyle SINCKLER;Avant;27;176;122
Angleterre;Mako VUNIPOLA;Avant;30;180;130
Angleterre;Will STUART;Avant;24;189;132
Italie;Cherif TRAORÉ;Avant;26;184;116
Italie;Daniele RIMPELLI;Avant;23;188;110
Italie;Danilo FISCHETTI;Avant;23;181;115
Italie;Gianmarco LUCCHESI;Avant;20;183;104
Italie;Giosué ZILOCCHI;Avant;24;189;112
Italie;Marco RICCIONI;Avant;23;186;126
Italie;Pietro CECCARELLI;Avant;29;184;120
Italie;Simone FERRARI;Avant;26;185;124
Ecosse;Jamie BHATTI;Avant;27;182;113
Ecosse;Oli KEBBLE;Avant;28;191;124
Ecosse;Rory SUTHERLAND;Avant;28;183;113
Ecosse;Simon BERGHAN;Avant;30;193;126
Ecosse;Wp NEL;Avant;34;182;120
Ecosse;Zander FAGERSON;Avant;25;188;126
Irlande;Andrew PORTER;Avant;25;184;125
Irlande;Cian HEALY;Avant;33;185;117
Irlande;Dave KILCOYNE;Avant;32;185;118
Irlande;Ed BYRNE;Avant;27;180;114
Irlande;Eric OSULLIVAN;Avant;25;196;118
Irlande;Finlay BEALHAM;Avant;29;185;123
Irlande;John RYAN;Avant;32;185;121
Irlande;Tadhg FURLONG;Avant;28;183;123
Pays-de-Galles;Dillon LEWIS;Avant;25;183;118
Pays-de-Galles;Leon BROWN;Avant;24;191;126
Pays-de-Galles;Nicky SMITH;Avant;26;183;113
Pays-de-Galles;Rhodri JONES;Avant;29;191;120
Pays-de-Galles;Rhys CARRÉ;Avant;23;191;132
Pays-de-Galles;Samson LEE;Avant;28;180;115
Pays-de-Galles;Tomas FRANCIS;Avant;28;186;135
Pays-de-Galles;Wyn JONES;Avant;28;184;114
France;Camille CHAT;Avant;25;178;101
France;Julien MARCHAND;Avant;25;181;108
France;Péato MAUVAKA;Avant;24;184;124
France;Pierre BOURGARIT;Avant;23;184;105
France;Teddy BAUBIGNY;Avant;22;187;111
Angleterre;Jamie GEORGE;Avant;30;183;106
Angleterre;Luke COWAN-DICKIE;Avant;27;184;112
Angleterre;Tom DUNN;Avant;28;187;106
Italie;Leonardo GHIRALDINI;Avant;36;184;99
Italie;Luca BIGI;Avant;29;182;104
Ecosse;Dave CHERRY;Avant;30;183;103
Ecosse;Fraser BROWN;Avant;31;182;113
Ecosse;George TURNER;Avant;28;181;106
Ecosse;Stuart MCINALLY;Avant;30;190;110
Irlande;David HEFFERNAN;Avant;30;185;108
Irlande;Rob HERRING;Avant;30;185;106
Irlande;Ronan KELLEHER;Avant;23;185;106
Pays-de-Galles;Elliot DEE;Avant;26;186;106
Pays-de-Galles;Ken OWENS;Avant;34;185;109
Pays-de-Galles;Ryan ELIAS;Avant;26;187;110
Pays-de-Galles;Sam PARRY;Avant;29;186;114
